Id,Name,Lon,Lat,Base,Temp,Pressure,Humidity,TempMin,TempMax,Visibility,Speed,Deg,All,Dt,Type,Id,Message,Country,Sunrise,Sunset,Cod
2643741,City of London,-0.0918,51.5128,stations,283.61,1028,87,282.41,284.39,10000,1.54,30,90,1636971100,2,2019646,0,GB,1636960720,1636992691,200
2988507,Paris,2.3488,48.8534,stations,279.96,1024,96,279.01,280.8,800,0.89,90,90,1636971250,2,2041230,0,FR,1636959589,1636992650,200
2964574,Dublin,-6.2672,53.344,stations,283.7,1027,96,283.47,284.19,10000,0.45,275,75,1636970793,2,2016139,0,IE,1636962624,1636993752,200
4229546,Washington,-82.7393,33.7368,stations,278.22,1019,76,277.21,280.42,10000,3.2,275,2,1636971251,1,4414,0,US,1636977800,1637015287,200
5128581,New York,-74.006,40.7143,stations,276.38,1008,84,272.81,278.8,10000,0.45,266,40,1636970554,2,2008776,0,US,1636976595,1637012300,200
1273294,Delhi,77.2167,28.6667,stations,298.2,1011,29,298.2,298.2,1600,2.06,300,0,1636971224,1,9165,0,IN,1636938833,1636977466,200
1275339,Mumbai,72.8479,19.0144,stations,306.14,1004,58,304.09,306.14,2500,4.12,270,40,1636971146,1,9052,0,IN,1636938962,1636979434,200
6539761,Marino,12.6444,41.7624,stations,288.8,1014,76,285.85,290.8,10000,3.58,131,40,1636970778,2,2011794,0,IT,1636955932,1636991365,200
2950159,Berlin,13.4105,52.5244,stations,279.34,1021,87,278.59,279.87,10000,4.47,81,75,1636970902,2,2011538,0,DE,1636957702,1636989227,200
292223,Dubai,55.3047,25.2582,stations,306.88,1010,18,306.29,307.31,10000,3.09,110,0,1636971018,1,7537,0,AE,1636943753,1636983065,200
